N, num_eigs, dtype, run_time, device, method, workspace_bytes
40000, 40000, torch.float32, None, 2xRTX-3070-8GB, cusolverMgsyevd, 24927666688
45000, 45000, torch.float32, None, 2xRTX-3070-8GB, cusolverMgsyevd, 30847731200
50000, 50000, torch.float32, None, 2xRTX-3070-8GB, cusolverMgsyevd, 38162652544
100, 100, torch.float64, 1.864060878753662, 2xRTX-3070-8GB, cusolverMgsyevd, 19923456
1000, 1000, torch.float64, 2.059819459915161, 2xRTX-3070-8GB, cusolverMgsyevd, 31818496
2000, 2000, torch.float64, 2.442725896835327, 2xRTX-3070-8GB, cusolverMgsyevd, 71319552
5000, 5000, torch.float64, 4.61445426940918, 2xRTX-3070-8GB, cusolverMgsyevd, 347401728
10000, 10000, torch.float64, 13.913129568099976, 2xRTX-3070-8GB, cusolverMgsyevd, 2772640256
15000, 15000, torch.float64, 36.80966091156006, 2xRTX-3070-8GB, cusolverMgsyevd, 3284701696
20000, 20000, torch.float64, 75.49843382835388, 2xRTX-3070-8GB, cusolverMgsyevd, 5264225536
25000, 25000, torch.float64, None, 2xRTX-3070-8GB, cusolverMgsyevd, 8216768256
30000, 30000, torch.float64, None, 2xRTX-3070-8GB, cusolverMgsyevd, 11821428992
35000, 35000, torch.float64, None, 2xRTX-3070-8GB, cusolverMgsyevd, 16081089536
40000, 40000, torch.float64, None, 2xRTX-3070-8GB, cusolverMgsyevd, 20995749376
45000, 45000, torch.float64, None, 2xRTX-3070-8GB, cusolverMgsyevd, 25981953536
50000, 50000, torch.float64, None, 2xRTX-3070-8GB, cusolverMgsyevd, 32141833728
100, 5, torch.float32, 0.0006868839263916016, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
1000, 50, torch.float32, 0.1074671745300293, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
2000, 100, torch.float32, 0.15993642807006836, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
5000, 250, torch.float32, 0.984447717666626, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
10000, 500, torch.float32, 8.786656856536865, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
15000, 750, torch.float32, 50.273560762405396, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
20000, 1000, torch.float32, 122.14194512367249, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
25000, 1250, torch.float32, 235.34262084960938, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
30000, 1500, torch.float32, 399.93492317199707, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
35000, 1750, torch.float32, 624.0937769412994, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
40000, 2000, torch.float32, None, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
45000, 2250, torch.float32, None, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
50000, 2500, torch.float32, None, Threadripper 3960X 24-Core, scipy.linalg.eigh, None
